!E(eV)		F(ergcm-2s-1)	Emin            Emax      	delta F(-)	delta F(+)	Observatory
1.3698E+00	7.0661E-12	1.3679E+00	1.3717E+00	3.5701E-13	3.5701E-13	X-Shooter
1.3736E+00	7.2077E-12	1.3717E+00	1.3755E+00	3.6288E-13	3.6288E-13	X-Shooter
1.3774E+00	7.0953E-12	1.3755E+00	1.3793E+00	3.5673E-13	3.5673E-13	X-Shooter
1.3812E+00	6.7609E-12	1.3793E+00	1.3832E+00	3.3920E-13	3.3920E-13	X-Shooter
1.3851E+00	7.1563E-12	1.3832E+00	1.3870E+00	3.6893E-13	3.6893E-13	X-Shooter
1.3890E+00	6.6987E-12	1.3870E+00	1.3909E+00	3.3815E-13	3.3815E-13	X-Shooter
1.3929E+00	6.9421E-12	1.3909E+00	1.3948E+00	3.4856E-13	3.4856E-13	X-Shooter
1.3968E+00	7.0645E-12	1.3948E+00	1.3988E+00	3.8560E-13	3.8560E-13	X-Shooter
1.4008E+00	6.8603E-12	1.3988E+00	1.4027E+00	3.4577E-13	3.4577E-13	X-Shooter
1.4047E+00	6.7247E-12	1.4027E+00	1.4067E+00	3.3771E-13	3.3771E-13	X-Shooter
1.4087E+00	6.8148E-12	1.4067E+00	1.4107E+00	3.4713E-13	3.4713E-13	X-Shooter
1.4127E+00	6.8436E-12	1.4107E+00	1.4147E+00	3.5165E-13	3.5165E-13	X-Shooter
1.4168E+00	7.0000E-12	1.4147E+00	1.4188E+00	3.5677E-13	3.5677E-13	X-Shooter
1.4208E+00	7.0535E-12	1.4188E+00	1.4229E+00	3.5672E-13	3.5672E-13	X-Shooter
1.4249E+00	6.9560E-12	1.4229E+00	1.4270E+00	3.5032E-13	3.5032E-13	X-Shooter
1.4290E+00	6.8747E-12	1.4270E+00	1.4311E+00	3.4947E-13	3.4947E-13	X-Shooter
1.4331E+00	6.4275E-12	1.4311E+00	1.4352E+00	3.3068E-13	3.3068E-13	X-Shooter
1.4373E+00	6.5038E-12	1.4352E+00	1.4394E+00	3.3358E-13	3.3358E-13	X-Shooter
1.4415E+00	6.9256E-12	1.4394E+00	1.4436E+00	3.4994E-13	3.4994E-13	X-Shooter
1.4457E+00	6.9541E-12	1.4436E+00	1.4478E+00	3.5078E-13	3.5078E-13	X-Shooter
1.4499E+00	6.5775E-12	1.4478E+00	1.4520E+00	3.3573E-13	3.3573E-13	X-Shooter
1.4542E+00	6.7319E-12	1.4520E+00	1.4563E+00	3.4160E-13	3.4160E-13	X-Shooter
1.4584E+00	6.8363E-12	1.4563E+00	1.4606E+00	3.4599E-13	3.4599E-13	X-Shooter
1.4627E+00	6.8894E-12	1.4606E+00	1.4649E+00	3.4641E-13	3.4641E-13	X-Shooter
1.4671E+00	6.4526E-12	1.4649E+00	1.4692E+00	3.2936E-13	3.2936E-13	X-Shooter
1.4714E+00	6.6140E-12	1.4692E+00	1.4736E+00	3.3977E-13	3.3977E-13	X-Shooter
1.4758E+00	6.5693E-12	1.4736E+00	1.4780E+00	3.3280E-13	3.3280E-13	X-Shooter
1.4802E+00	6.6636E-12	1.4780E+00	1.4824E+00	3.4918E-13	3.4918E-13	X-Shooter
1.4846E+00	6.8064E-12	1.4824E+00	1.4869E+00	3.4685E-13	3.4685E-13	X-Shooter
1.4891E+00	6.7406E-12	1.4869E+00	1.4913E+00	3.4282E-13	3.4282E-13	X-Shooter
1.4936E+00	7.6340E-12	1.4913E+00	1.4958E+00	4.0305E-13	4.0305E-13	X-Shooter
